layer,effective_rank,nuclear_norm,frobenius_norm_squared,top_singular_value,numerical_rank
0,30.008665270077216,31377.489969999886,32808752.67048857,1456.8569857435182,32
1,61.73522891190516,44966.386405731326,32752383.720401444,3307.7307604861976,128
2,50.82671493991251,39874.43220882073,31282178.001381896,3902.449664832961,128
3,40.90787150985176,35517.00238743191,30836545.926987417,4224.181406219779,128
4,30.902623907453577,31135.18412047931,31369494.484328628,4600.208479104285,127
5,26.89557912610921,28321.785522300765,29823620.13512228,4558.026432461563,124
6,21.364649988703583,26333.697243871757,32458458.757740628,4971.799183035107,125
7,17.38491139257718,24898.486535390984,35659349.52177778,5378.350689171472,121
8,12.407151652694624,20902.972653173132,35216323.453611456,5500.059922238647,112
